N,a,r,rho_C,p_p_C,p_t_C,delta_p,H,H_p,H_t,H_t_over_H_p,delta_over_H,casimir_fraction,constraint_residual,continuity_residual,r0,epsilon
6.7199999999999998,828.81751148146952,0.4999949639741621,-2.3294466459530059e-12,9.3107487635657214e-13,-1.6302607611547888e-12,-2.5613356375113612e-12,0.99999999999999989,1.0000000000001412,0.99999999999992917,0.99999999999978795,-2.1203944926390143e-13,-7.7648221531766881e-17,1.4802973661668756e-16,0,0.5,0.0001
6.7400000000000002,845.56073585103672,0.49999496397415999,-2.1503502769147444e-12,8.5949043807467621e-13,-1.5049203574947101e-12,-2.3644107955693865e-12,1,1.0000000000001332,0.99999999999993339,0.99999999999980016,-1.9969789737426761e-13,-7.1678342563824816e-17,0,0,0.5,0.0001
6.7599999999999998,862.64219578923701,0.4999949639741581,-1.9850234910770383e-12,7.9340967294975375e-13,-1.3892165820133961e-12,-2.1826262549631497e-12,1,1.0000000000001255,0.99999999999993727,0.99999999999981182,-1.8807400133450573e-13,-6.6167449702567947e-17,0,0,0.5,0.0001
6.7800000000000002,880.06872410780306,0.49999496397415627,-1.8324076325746824e-12,7.3240943848119866e-13,-1.2824085355279406e-12,-2.0148179740091391e-12,1,1.0000000000001181,0.99999999999994094,0.99999999999982281,-1.7712569225053573e-13,-6.1080254419156084e-17,0,0,0.5,0.0001
6.7999999999999998,897.84729165041756,0.49999496397415455,-1.6915254388733326e-12,6.7609912490985934e-13,-1.183812281891596e-12,-1.8599114068014553e-12,1,1.0000000000001112,0.99999999999994438,0.99999999999983313,-1.6681344874097496e-13,-5.6384181295777761e-17,0,0,0.5,0.0001
6.8200000000000003,915.98501008114988,0.49999496397415288,-1.5614747829528023e-12,6.2411815398199558e-13,-1.092796468467399e-12,-1.7169146224493947e-12,1,1.0000000000001048,0.9999999999999476,0.99999999999984279,-1.5710019446473945e-13,-5.2049159431760077e-17,0,1.2933183035764019e-16,0.5,0.0001
6.8399999999999999,934.48913472921015,0.49999496397415139,-1.4414228966142617e-12,5.7613367001743738e-13,-1.0087782833158495e-12,-1.5849119533332869e-12,1,1.0000000000000986,0.99999999999995071,0.99999999999985212,-1.4795118981251918e-13,-4.8047429887142058e-17,0,1.4010349926516242e-16,0.5,0.0001
6.8600000000000003,953.36706749118412,0.49999496397414994,-1.3306010379205989e-12,5.3183840849682396e-13,-9.3121972320871149e-13,-1.4630581317055354e-12,1,1.0000000000000928,0.99999999999995359,0.99999999999986078,-1.3933391207260911e-13,-4.4353367930686629e-17,0,1.5177230888995823e-16,0.5,0.0001
6.8799999999999999,972.62635979188417,0.49999496397414861,-1.2282995686235329e-12,4.9094872851967584e-13,-8.5962414857160438e-13,-1.3505728770912802e-12,1,1.0000000000000875,0.99999999999995626,0.99999999999986877,-1.3121791838160855e-13,-4.0943318954117765e-17,0,0,0.5,0.0001
6.9000000000000004,992.27471560502624,0.49999496397414733,-1.1338634100560368e-12,4.5320279653425003e-13,-7.9353310329514347e-13,-1.2467358998293934e-12,1,1.0000000000000824,0.99999999999995881,0.99999999999987643,-1.235746857704724e-13,-3.7795447001867895e-17,0,1.7810645439789178e-16,0.5,0.0001
