run_id,run_kind,perturbation,r0,epsilon,delta0,max_q,N_at_max_q,first_crossing_N,last_crossing_N,dwell_time_within_0p1_percent,dwell_time_within_1_percent,q_at_N_10,q_at_N_20,max_abs_delta_over_H,max_abs_casimir_fraction,minimum_H_p,minimum_H_t,constraint_residual,continuity_residual,classification,valid,invalid_reason
234,grid,baseline,1.5,0.24879023672388398,0.0,1.02719122816354,0.28,,,0.0,0.0,1.000000000000024,1.0000000000000007,0.026707095675475027,0.08569582128300511,0.9597117311766441,0.9597230308391737,1.596633132668012e-16,2.9919018338722294e-16,NO_CROSSING,True,
235,grid,baseline,1.5,0.3480700588428413,0.0,1.0390682219242164,0.28,,,0.0,0.0,1.0000000000000342,1.0,0.03807650112680325,0.12413790264119699,0.9431543970181971,0.9431704907469606,1.6340666708473848e-16,2.980498736195271e-16,NO_CROSSING,True,
236,grid,baseline,1.5,0.4869675251658631,0.0,1.0568132335093816,0.28,,,0.0,0.0,1.0000000000000493,1.0000000000000013,0.0547399318234014,0.18272696659243498,0.9194896277337852,0.9195127392952865,1.7507876135413194e-16,2.726340001052359e-16,NO_CROSSING,True,
237,grid,baseline,1.5,0.6812920690579622,0.0,1.084161427511929,0.28,0.238166159382624,0.31721248232455135,0.12000000000000002,0.31000000000000005,1.0000000000000733,1.0000000000000002,0.07969020017497108,0.27575124330119266,0.8853204748158223,0.8853540940154698,1.888491205342872e-16,3.868753680770197e-16,TRANSIENT_CROSSING,True,
238,grid,baseline,1.5,0.9531618832347882,0.0,1.1285275378545865,0.27,0.08832542887220303,0.6219946362008367,0.0,0.13,1.0000000000001106,1.0000000000000002,0.11838381746731895,0.43349056751016507,0.8351733082390573,0.8352232595704853,2.121992311510357e-16,3.2886673704065567e-16,TRANSIENT_CROSSING,True,
239,grid,baseline,1.5,1.333521432163324,0.0,1.2069877621092484,0.26,0.04471740835961532,0.8346830060355442,0.009999999999999898,0.09999999999999998,1.0000000000001743,0.9999999999999993,0.18188861692846833,0.7333298459583576,0.7594781746963241,0.7595552894056657,2.4289055862281697e-16,3.4676523848366126e-16,TRANSIENT_CROSSING,True,
240,grid,baseline,1.5,1.865663578576915,0.0,1.3721442987376857,0.25,0.020732242283127342,1.0593122895978997,0.0,0.10000000000000009,1.0000000000003044,0.9999999999999917,0.29816956336267036,1.4504054969970817,0.6386943960118728,0.638823701658069,2.596898851751985e-16,2.9476225387329365e-16,TRANSIENT_CROSSING,True,
241,grid,baseline,1.5,2.6101572156825386,0.0,1.9461043134643465,0.22,0.006097255820081679,1.3831129569475802,0.0,0.08999999999999986,1.0000000000007367,0.9999999999999997,0.5801700534130574,4.817466506045813,0.41431582152239005,0.41460358614614895,2.9259141608360796e-16,3.4799316330185885e-16,TRANSIENT_CROSSING,True,
242,grid,baseline,1.5,3.651741272548377,0.0,,,,,0.0,0.0,,,,,,,,,INVALID,False,rho_total_nonpositive
243,grid,baseline,1.5,5.108969774506935,0.0,,,,,0.0,0.0,,,,,,,,,INVALID,False,rho_total_nonpositive
244,grid,baseline,1.5,7.1477057679418605,0.0,,,,,0.0,0.0,,,,,,,,,INVALID,False,rho_total_nonpositive
245,grid,baseline,1.5,10.0,0.0,,,,,0.0,0.0,,,,,,,,,INVALID,False,rho_total_nonpositive
246,grid,baseline,2.0,1e-06,0.0,1.0000002636140986,0.29,,,0.0,0.0,0.999999999999994,0.9999999999999993,2.6361405210702626e-07,4.223020647426073e-07,0.9999997361180988,0.9999997888490345,1.4802979432370102e-16,3.0618916063301813e-16,NO_CROSSING,True,
247,grid,baseline,2.0,1.3990503141372929e-06,0.0,1.0000003688094483,0.29,,,0.0,0.0,0.9999999999999943,1.0,3.6880935769076826e-07,5.908219359041499e-07,0.9999996308159254,0.999999704589163,1.4802981114450836e-16,3.615440607850503e-16,NO_CROSSING,True,
248,grid,baseline,2.0,1.9573417814876616e-06,0.0,1.0000005159830962,0.29,,,0.0,0.0,0.9999999999999997,1.0,5.159829187620339e-07,8.265898099090671e-07,0.9999994834928696,0.9999995867053513,1.4802984956907824e-16,3.2544917984535214e-16,NO_CROSSING,True,
249,grid,baseline,2.0,2.7384196342643613e-06,0.0,1.0000007218865559,0.29,,,0.0,0.0,0.999999999999996,1.0,7.218862086754807e-07,1.1564411146691348e-06,0.9999992773804673,0.9999994217799442,1.4802990780436115e-16,3.715913868810638e-16,NO_CROSSING,True,
250,grid,baseline,2.0,3.831186849557285e-06,0.0,1.0000010099560892,0.29,,,0.0,0.0,0.999999999999999,0.9999999999999927,1.009955409238701e-06,1.6179200513939514e-06,0.9999989890187762,0.9999991910409559,1.4802994070531405e-16,2.878316074413362e-16,NO_CROSSING,True,
251,grid,baseline,2.0,5.3600231653917955e-06,0.0,1.0000014129803152,0.29,,,0.0,0.0,0.9999999999999774,0.999999999999999,1.412978984170737e-06,2.263553017572878e-06,0.9999985855861241,0.9999988682254126,1.4803005855140957e-16,3.211046383631053e-16,NO_CROSSING,True,
252,grid,baseline,2.0,7.498942093324558e-06,0.0,1.0000019768323765,0.29,,,0.0,0.0,1.0000000000000009,1.0,1.9768297711179578e-06,3.1668274208068415e-06,0.9999980211632802,0.9999984165900504,1.4803016935933616e-16,3.141913426756276e-16,NO_CROSSING,True,
