r,Lp,Lt,rho,p_p,p_t,p_t_minus_p_p,trace,p2_p3_abs_split,w_p,w_t,rho_fit_rms,p_p_fit_rms,p_t_fit_rms
0.6299605249474366,1,0.6299605249474366,-3.2586804929109077,0.61267059676814728,-1.9356755448395295,-2.5483461416076767,-3.9968028886505635e-15,0,-0.18801186495607064,0.5940059324780359,4.1013834856217474e-07,1.8635477597339199e-08,1.9575520385353323e-07
0.6597539553864471,1,0.6597539553864471,-2.8152877105326723,0.39966993787427896,-1.6074788242034757,-2.0071487620777546,0,1.1102230246251565e-15,-0.14196415392253411,0.57098207696126702,3.5793011444248294e-07,2.2207557314509531e-08,1.6786364272972955e-07
0.690956439983888,1,0.690956439983888,-2.4374700373520288,0.23103421150599918,-1.3342521244290153,-1.5652863359350144,-2.6645352591003757e-15,4.4408920985006262e-16,-0.094784431384020471,0.5473922156920108,3.1262670288427446e-07,2.5424762633609256e-08,1.4360246740916606e-07
0.72363461872018897,1,0.72363461872018897,-2.1150175718510149,0.098282980820371763,-1.1066502763356869,-1.2049332571560587,1.2878587085651816e-14,2.2204460492503131e-16,-0.046469108402894616,0.52323455420144427,2.7331836792960645e-07,2.8262310944401851e-08,1.2252896734108173e-07
0.75785828325519911,1,0.75785828325519911,-1.8393738736573115,-0.0055632244632615804,-0.91690532459702656,-0.91134210013376493,-3.1086244689504383e-15,4.4408920985006262e-16,0.0030245207583599987,0.49848773962082088,2.3921222845060063e-07,3.0702353252726477e-08,1.0425551280672313e-07
0.79370052598409979,1,0.79370052598409979,-1.603362947007315,-0.086237364687054618,-0.75856279116013436,-0.6723254264730798,-8.4376949871511897e-15,2.2204460492503131e-16,0.053785304723435887,0.47310734763828466,2.0961743869250784e-07,3.2734401382083069e-08,8.8441856144453104e-08
0.83123789614278776,1,0.83123789614278776,-1.4009615497860111,-0.14843661026032529,-0.62626246976284838,-0.4778258595025231,-1.0880185641326534e-14,1.1102230246251565e-15,0.10595337915091113,0.44702331042454835,1.8393230180683786e-07,3.435554771382814e-08,7.4788561656275693e-08
0.87055056329612412,1,0.87055056329612412,-1.2271092505838177,-0.19599711254600202,-0.51555606901890838,-0.31955895647290633,-1.1102230246251565e-15,2.2204460492503131e-16,0.15972262653284794,0.42013868673357646,1.6163305558239179e-07,3.5570427708346576e-08,6.3031402124667678e-08
0.9117224885582168,1,0.9117224885582168,-1.077549943166775,-0.23203928860974052,-0.42275532727851739,-0.19071603866877687,-3.3306690738754696e-16,0,0.21533970660126261,0.39233014669936883,1.4226410017782255e-07,3.6390903203565407e-08,5.2936632467942526e-08
0.95484160391041661,1,0.95484160391041661,-0.94869959529906678,-0.25908894940247507,-0.34480532294829669,-0.085716373545821622,-1.6653345369377348e-15,2.7755575615628914e-16,0.27309904071456909,0.36345047964271632,1.2542947600618976e-07,3.6835474481247312e-08,4.4297008326615069e-08
