t,a,rho,rho_dot,Theta,mu,H,energy_density,pressure,friedmann_residual,charge,continuity_residual
3.5,2.9241545074026707,0.2782820218319061,0.10118357766736408,3.5078308805978273,0.580289142140891,0.1381470624900148,0.05725383262441066,-0.020938622441756545,-5.505040867603839e-13,1.1236102527122116,3.469446951953614e-18
3.5100000000000002,2.928194295349766,0.2792822312080387,0.09885528282818294,3.5136009637899535,0.5737588691199003,0.1379676586575792,0.05710522450770314,-0.02165578936297635,-1.340261235327489e-12,1.1236102527122116,-1.734723475976807e-18
3.52,2.9322344668222873,0.28025906868113054,0.09650934436675493,3.5193066769144243,0.5674142800182622,0.13779253695922103,0.056960349726458914,-0.022357982387040023,-1.4840351170164467e-12,1.1236102527122116,-3.469446951953614e-18
3.5300000000000002,2.9362751323774323,0.2812123621886345,0.094146633017289,3.5249498516126847,0.5612503634692673,0.13762160370300877,0.05681911741877484,-0.023045049398783896,-1.4108436641180333e-12,1.1236102527122116,3.469446951953614e-18
3.54,2.940316400476707,0.2821419482615042,0.09176799692074011,3.5305322702775657,0.5552622806555338,0.13745476490581507,0.05668143718744143,-0.02371684477106039,-1.5027631916630924e-12,1.1236102527122116,-1.734723475976807e-18
3.5500000000000003,2.944358377459186,0.28304767180310625,0.08937426259056383,3.5360556677536903,0.5494453600383487,0.13729192632351572,0.05654721910292344,-0.024373229407602892,-2.058436754381887e-12,1.1236102527122116,1.734723475976807e-18
3.56,2.9484011675154815,0.2839293858769145,0.08696623583011502,3.541521732982232,0.5437950922010699,0.13713299348148433,0.05641637370658456,-0.025014070782484795,-3.0060814948384973e-12,1.1236102527122116,0.0
3.5700000000000003,2.952444872662682,0.28478695150377675,0.0845447026056497,3.546932110596934,0.5383071248077871,0.13697787170517786,0.05628881201456221,-0.025639242976449643,-3.9217171177163834e-12,1.1236102527122116,6.938893903907228e-18
3.58,2.9564895927202275,0.285620237468126,0.08211042987647904,3.552288402471825,0.5329772576831487,0.136826466150821,0.05616444552220056,-0.026248626710068078,-4.2352579776583354e-12,1.1236102527122116,0.0
3.59,2.9605354252867055,0.28642912013251115,0.07966416638381761,3.5575921692211088,0.5278014380180599,0.13667868183619772,0.05604318620895732,-0.02684210937365852,-3.5156322297780207e-12,1.1236102527122116,0.0
3.6,2.964582465717531,0.2872134832598198,0.07720664339987425,3.562844931651656,0.5227757557049119,0.13653442367155832,0.05592494654370633,-0.027419585053887977,-1.7325724188665959e-12,1.1236102527122116,-3.469446951953614e-18
3.61,2.9686308071034917,0.2879732178425663,0.07473857543872992,3.568048172168566,0.5178964388050845,0.13639359649065017,0.05580963949036239,-0.027980954556953562,6.004988173380355e-13,1.1236102527122116,0.0
3.62,2.972680540250134,0.28870822193861967,0.07226066093054702,3.5732033361342537,0.5131598491506658,0.1362561050818802,0.05569717851375883,-0.028526125428230003,2.4943241916375314e-12,1.1236102527122116,-1.734723475976807e-18
3.63,2.9767317536579565,0.2894184005127436,0.06977358286065866,3.578311833181502,0.5085624780816514,0.13612185421961806,0.055587477585709984,-0.029055011968254656,2.8508723159959004e-12,1.1236102527122116,1.734723475976807e-18
3.64,2.980784533503395,0.29010366528332315,0.06727800937507951,3.5833750384809493,0.5041009423192883,0.13599074869564706,0.055480451191192395,-0.02956753524491206,1.215499922935237e-12,1.1236102527122116,-1.734723475976807e-18
3.65,2.9848389636205632,0.29076393457365063,0.06477459435398805,3.5883942939634514,0.49977197997573114,0.1358626933507725,0.05537601433457752,-0.030063623101669355,-9.993880722980464e-13,1.1236102527122116,3.469446951953614e-18
3.66,2.9888951254846603,0.291399133173738,0.06226397796309564,3.593370909520997,0.4955724466768575,0.13573759310598704,0.05527408254783975,-0.030543210163641005,-1.2202461263655096e-12,1.1236102527122116,-1.734723475976807e-18
3.67,2.9929530981982317,0.2920091922204809,0.059746787192236625,3.598306164214867,0.49149931177021844,0.13561535299231617,0.05517457190296458,-0.031006237844128502,-1.273023353398628e-12,1.1236102527122116,1.734723475976807e-18
3.68,2.9970129584738627,0.29259404905211145,0.0572236363277587,3.6032013073374216,0.4875496547685321,0.13549587818347353,0.05507739901538407,-0.03145265433872965,-1.2519776881880773e-12,1.1236102527122116,1.734723475976807e-18
3.69,3.001074780620799,0.29315364708829345,0.05469512742739023,3.6080575595124125,0.48372066184523443,0.13537907402663713,0.0549824810542212,-0.03188241462186542,-1.2921053116343728e-12,1.1236102527122116,3.469446951953614e-18
3.7,3.005138636531963,0.29368793570993,0.05216185076426484,3.6128761137440826,0.48000962247061124,0.13526484607354256,0.054889735751389536,-0.032295480438441,-1.4920564783693635e-12,1.1236102527122116,-1.734723475976807e-18
3.71,3.009204595671892,0.29419687014317547,0.04962438524851694,3.6176581364330125,0.47641392616942024,0.1351531001114918,0.0547990814110584,-0.032691820291923725,-1.8176363192345946e-12,1.1236102527122116,3.469446951953614e-18
3.72,3.013272725065672,0.29468041134782724,0.047083298827897094,3.622404768361142,0.47293105939616575,0.135043742194224,0.054710436919574904,-0.03307140942898258,-2.1148013895633255e-12,1.1236102527122116,-3.469446951953614e-18
3.73,3.0173430892888544,0.2951385259098071,0.04453914886823512,3.6271171256467096,0.4695586025257333,0.13493667867263667,0.05462372175579436,-0.03343422982069094,-2.187153236299366e-12,1.1236102527122116,5.204170427930421e-18
3.74,3.021415750458355,0.29557118593744175,0.0419924825145718,3.6317963006698726,0.4662942269570256,0.13483181622534476,0.054538856001773904,-0.03378027014028718,-1.8984744332151138e-12,1.1236102527122116,0.0
3.75,3.025490768224329,0.2959783689612516,0.03944383703378688,3.6364433629697577,0.4631356923272023,0.13472906188906625,0.05445576035378619,-0.034109525737480106,-1.2626566459061905e-12,1.1236102527122116,-1.734723475976807e-18
3.7600000000000002,3.02956819976302,0.296360057836958,0.036893740139544454,3.641059360113705,0.46008084383409265,0.13462832308882194,0.054374356133610816,-0.03442199860928222,-4.861389069077404e-13,1.1236102527122116,6.938893903907228e-18
3.77,3.033648099770581,0.2967162406514171,0.034342710300383286,3.6456453185394513,0.4571276096643581,0.13452950766793773,0.05429456530006185,-0.03471769736734848,7.129713486264677e-14,1.1236102527122116,-3.469446951953614e-18
