Galaxy,Upsilon_disk,Upsilon_bulge,H0,Chi2_nu,dof,High_Fidelity,Prior_Clipped
F579-V1,0.0126431890622836,4.283336751364658,61.476458874715476,1.2105368963917764,11,1,0
F583-1,0.0111312919422939,3.8985453732060575,55.79609865687415,2.0637918086801497,22,1,0
F583-4,0.0116071117523091,4.13399636019556,57.805002652499326,2.4268651492929076,9,1,0
IC2574,0.0559736359411757,4.115111271465379,72.01287123242639,0.39887920915837816,31,1,0
IC4202,0.0128608412274989,6.559915781622192e-05,53.06846727791553,4.616088251353138,29,1,0
ITSM,0.0122420559350964,4.114699598540235,72.49744362944301,,0,0,0
KK98-251,0.0201835254676944,4.324780455606238,68.46931430052477,1.3406716452195344,12,1,0
NGC0024,0.0106197448596996,4.295750831269686,55.61882465935512,1.3635912765431695,26,1,0
NGC0055,0.2938827644888381,3.9545703717174923,73.6654097943599,0.4216835954464098,18,1,0
NGC0100,0.0112261127315956,3.8809819189858574,58.13379827543106,1.3465175765809065,18,1,0
NGC0247,0.06646581578045935,3.959060362818424,72.72096030534735,0.23699653499362724,23,1,0
NGC0289,0.0225664184928786,4.090468973329382,70.57703985061433,0.5320588626062781,25,1,0
NGC0300,0.054008338664515654,3.7724606455028775,69.90647018394982,0.34178127450420953,22,1,0
NGC0801,0.0126966292103684,4.141657103137215,70.11905502683014,0.8446886451679243,10,1,0
NGC0891,0.0120726894729732,0.010080280662913,67.23411469931305,1.4166266569027426,15,1,0
NGC1003,0.0657916483430473,4.102388782797217,71.58683012648473,0.55861074168344,33,1,0
NGC1090,0.0109407082826135,4.194806456131008,64.0441201743235,1.1037835423051632,21,1,0
NGC1705,0.01333729642974935,4.177790131844736,69.83409915738416,1.0200025783889552,11,1,0
NGC2366,0.011201652606720399,3.6366915101334136,57.431973935186406,2.827820838437994,23,1,0
NGC2403,0.0102808904408161,4.017655503400535,56.681704447542536,1.1376628021147102,70,1,0
NGC2683,0.087868981423381,3.886229101256167,72.86276237246707,0.45308413330047925,8,1,0
NGC2841,0.0297584534499808,3.8002686218776303,61.129673758242774,0.6492977888580971,47,1,0
NGC2903,0.0106000306141319,3.9061885030704966,69.39480859921112,0.8668580768425836,31,1,0
NGC2915,0.02138528372282025,3.920130236770338,70.53347350287618,0.7220831498912388,27,1,0
NGC2955,0.011458606762197801,0.0001763472704742,59.18669705312303,2.543467586034548,21,1,0
NGC2976,0.010264832656232549,3.899578078492655,53.081239958183026,3.1493482251287914,24,1,0
NGC2998,0.0104057285850484,4.106243623386346,58.13612870922961,4.57458358644396,10,1,0
NGC3109,0.0189567582416406,3.9757248511142977,65.75467646016348,1.270003384122447,22,1,0
NGC3198,0.01126159228152,4.038712924693638,61.86173076934143,0.5666562285224094,40,1,0
NGC3521,0.01058930548639955,4.006976994529505,64.55415340178797,0.8326422353561678,38,1,0
NGC3726,0.11083729081974755,4.088717686052489,72.74395436705426,0.29816439958554647,9,1,0
NGC3741,0.051293890376482104,3.8080404807275983,68.40231558680297,4.669964012925288,18,1,0
NGC3769,0.1269114113734009,3.8060293807171774,72.12931949056849,0.43279199029661575,9,1,0
NGC3877,0.019377777236098452,4.019086744531561,72.12473565232649,0.43884285534251904,10,1,0
NGC3893,0.0594348741111883,3.881875106241311,73.03361651193397,0.3718279622833928,7,1,0
NGC3917,0.0239191929379972,4.025277454822186,69.33959714818454,0.3427151385090346,14,1,0
NGC3949,0.0462715006084017,4.054861664781186,73.36702415808205,0.5577304926441263,4,1,0
NGC3953,0.1133254846052828,3.956013064895285,71.31745284500781,0.4272109489720807,5,1,0
