Galaxy,V_flat_kms,M_b_Msun,V_ITSM_kms,Residual_kms,ML_source
UGC00731,73.9,3382260306.576255,68.88693905350428,5.013060946495727,mcmc
UGC00891,60.15,1712133115.6226034,58.10580365087502,2.044196349124981,mcmc
UGC01230,103.0,13525708014.145744,97.41484241995957,5.5851575800404305,mcmc
UGC01281,56.4,489615321.297953,42.49118865239097,13.908811347609031,mcmc
UGC02023,47.9,370337603.6246131,39.626396739324235,8.273603260675763,mcmc
UGC02259,88.3,1501147814.5993104,56.22649283638291,32.07350716361709,mcmc
UGC02455,53.1,904309544.3006458,49.5352556826326,3.564744317367399,mcmc
UGC02487,332.0,530735512114.8649,243.81176998678473,88.18823001321527,mcmc
UGC02885,298.0,136830637159.75,173.7324594064839,124.26754059351609,mcmc
UGC02916,182.0,44803844677.81745,131.4207529655323,50.5792470344677,mcmc
UGC02953,263.0,15849627073.57423,101.35376646867152,161.64623353132848,mcmc
UGC03205,220.0,18051746214.59916,104.70440065951993,115.29559934048007,mcmc
UGC03546,191.0,5557228617.038191,77.99193514430131,113.00806485569869,mcmc
UGC03580,127.0,7763812312.098968,84.79180636074364,42.208193639256365,mcmc
UGC04278,91.3,2341571094.301096,62.83649720056039,28.46350279943961,mcmc
UGC04305,34.6,967147192.8761619,50.37421301055132,-15.774213010551321,mcmc
UGC04325,91.6,1206707640.9848108,53.239705694257026,38.36029430574297,mcmc
UGC04483,24.2,43154999.3445552,23.152234306110604,1.0477656938893958,mcmc
UGC04499,73.3,2282314074.1585646,62.43512455804628,10.864875441953714,mcmc
UGC05005,99.4,10266155616.597687,90.92579169165639,8.47420830834362,mcmc
UGC05253,213.0,29489342315.522858,118.37265867854414,94.62734132145586,mcmc
UGC05414,56.8,586541626.0912607,44.45389712112007,12.346102878879925,mcmc
UGC05716,73.0,2376952915.544734,63.07253335734185,9.927466642658153,mcmc
UGC05721,78.9,953234280.4511902,50.192062646653675,28.70793735334633,mcmc
UGC05750,77.6,7303768969.524241,83.50680874017957,-5.906808740179571,mcmc
UGC05764,50.0,329619997.3777981,38.48916755590574,11.510832444094262,mcmc
UGC05829,65.6,1938554576.1728785,59.93832999304034,5.661670006959653,mcmc
UGC05918,42.6,266115192.52245083,36.48400845145272,6.115991548547278,mcmc
UGC05986,109.0,1804540630.4516826,58.87444099768368,50.12555900231632,mcmc
UGC05999,97.7,20136671211.47147,107.60490047059811,-9.904900470598108,mcmc
UGC06399,85.6,1354186290.806852,54.79674146899549,30.803258531004502,mcmc
UGC06446,83.2,2642415366.538462,64.76425915304068,18.43574084695932,mcmc
UGC06614,204.0,68157357525.4592,145.9530975691247,58.04690243087529,mcmc
UGC06628,42.3,2052131365.8679948,60.79759779439315,-18.49759779439315,mcmc
UGC06667,85.0,1145086299.0230227,52.546607802178684,32.453392197821316,mcmc
UGC06786,215.0,7261869375.883614,83.38678667616159,131.6132133238384,mcmc
UGC06787,252.0,10042078413.944023,90.42552365354632,161.57447634645368,mcmc
UGC06818,71.2,843784889.6884134,48.68476369062804,22.515236309371964,mcmc
UGC06917,110.0,5000565290.7605715,75.96086575199669,34.03913424800331,mcmc
UGC06923,79.3,1497866438.4189534,56.19574108368887,23.104258916311124,mcmc
UGC06930,108.0,8267158022.269212,86.13391553554386,21.866084464456137,mcmc
UGC06973,178.0,32005509923.324112,120.82069180066445,57.17930819933555,mcmc
UGC06983,108.0,7040472624.839371,82.74382323903939,25.256176760960614,mcmc
UGC07089,77.6,1649302395.2690456,57.56522451074334,20.034775489256653,mcmc
UGC07125,65.1,5900489448.985643,79.16936104927476,-14.069361049274761,mcmc
UGC07151,74.0,1088637864.0901692,51.88669269487632,22.113307305123683,mcmc
UGC07261,74.7,1456406689.3894315,55.80277503185996,18.897224968140044,mcmc
UGC07323,82.8,1212832281.6695251,53.30713198442092,29.492868015579077,mcmc
UGC07399,103.0,1010831012.5920428,50.93364650106497,52.06635349893503,mcmc
UGC07524,82.3,3049969656.305535,67.12881951632416,15.17118048367584,mcmc
UGC07559,31.1,163808853.43589377,32.3161394114977,-1.2161394114977,mcmc
UGC07577,15.9,33374446.7730872,21.711441022819567,-5.811441022819567,mcmc
