t,largest_normalized_singular_value,smallest_normalized_singular_value,normalized_condition_number,initial_q_over_H,q_over_H,complex_mode_count,maximum_abs_imaginary_omega_over_H,maximum_real_mode_adiabaticity,force_mode_adiabaticity
1.6,515229.9746375196,5.104545454394372e-07,1009355248651.9077,0.01,0.010361015405339086,2.0,1720.5873931096141,nan,61812.91999561336
1.61,555915.552593896,4.711840436472383e-07,1179826779130.2664,0.01,0.010381525426198038,2.0,1643.7937958753141,nan,61876.55475553518
1.62,599833.9844973872,4.3495379063610803e-07,1379075196977.0085,0.01,0.010402387587094475,2.0,1559.0939221266422,nan,61937.47277391368
1.6300000000000001,647248.6865371137,4.0152412395241924e-07,1611979574641.4802,0.01,0.010423600741326705,2.0,1465.0147127755463,nan,61995.68625092307
1.6400000000000001,698443.2807117441,3.7064388756094186e-07,1884405231414.7632,0.01,0.010445163705833947,2.0,1359.4963535915292,nan,62051.2081627136
1.6500000000000001,753721.0956327571,3.421594516266388e-07,2202835818357.6074,0.01,0.0104670752601397,2.0,1239.4898989876244,nan,62104.05225416409
1.6600000000000001,813405.3071908675,3.158899469233785e-07,2574964208620.9385,0.01,0.010489334145226438,2.0,1100.1152515073813,nan,62154.233031627606
1.67,877838.5294368209,2.916212070346468e-07,3010201275699.8394,0.01,0.01051193906241288,2.0,932.551943109493,nan,62201.765755233864
1.68,947381.2974139946,2.692323733622457e-07,3518823853100.74,0.01,0.01053488867217748,2.0,717.0889382425063,nan,62246.66643113822
1.69,1022409.5672110872,2.485808501102359e-07,4112986043605.8867,0.01,0.010558181592931443,2.0,379.41260021935034,nan,62288.95180370129
1.7,1103311.1408521263,2.29534474224802e-07,4806733910356.153,0.01,0.010581816399744893,2.0,20.2244952200474,nan,62328.63934758215
1.71,1190480.8934537433,2.1201613917092078e-07,5615048449184.403,0.01,0.010605791623029902,2.0,12.630732715687394,nan,62365.74725972718
1.72,1284314.5947454013,1.9585320355192807e-07,6557536825813.9375,0.01,0.01063010574718437,2.0,10.026658916269168,nan,62400.29445123564
1.73,1385200.9326434988,1.8099472558330103e-07,7653266846198.641,0.01,0.010654757209200859,2.0,8.631002381820812,nan,62432.30053908257
1.74,1493510.9927983752,1.6729524964229555e-07,8927396300801.992,0.01,0.010679744397244876,2.0,7.751645904792995,nan,62461.78583767738
1.75,1609583.8451851944,1.5473211843743115e-07,10402390023736.797,0.01,0.010705065649207136,2.0,7.15190880514036,nan,62488.771350237614
1.76,1733705.918674646,1.432124279789672e-07,12105834271095.979,0.01,0.010730719251234826,2.0,6.725419371999621,nan,62513.27875995416
1.77,1866080.362018201,1.3262509801599418e-07,14070341058621.932,0.01,0.010756703436246963,2.0,6.415767934673884,nan,62535.330420925144
1.78,2006781.8831174953,1.229334503022159e-07,16324132107120.422,0.01,0.010783016382439387,2.0,6.1893885096435115,nan,62554.94934883323
1.79,2155717.900214414,1.1416204455503179e-07,18882965074922.523,0.01,0.010809656211753794,2.0,6.024565823831282,nan,62572.15921155689
1.8,2312603.7870738856,1.0607763706549441e-07,21801049222524.05,0.01,0.010836620987879523,2.0,5.906394478427192,nan,62586.98432267346
1.81,2476900.0548517625,9.87887285830047e-08,25072698984789.652,0.01,0.01086390871487823,2.0,5.8242285650875205,nan,62599.4496303626
1.82,2647717.490304676,9.211153237784607e-08,28744690506760.953,0.01,0.010891517335594772,2.0,5.770267100673553,nan,62609.5807075244
1.83,2823731.0536265625,8.611799084458232e-08,32789095819972.945,0.01,0.010919444729911097,2.0,5.7386980913870556,nan,62617.40374267431
1.84,3003080.6982656154,8.076192487514638e-08,37184362592994.38,0.01,0.010947688713039076,2.0,5.725141303258759,nan,62622.94553030574
1.85,3183243.9884770685,7.601409287334985e-08,41877023958975.61,0.01,0.010976247033795286,2.0,5.72626599544911,nan,62626.23346112641
1.86,3360886.4558495106,7.178041511313594e-08,46821775139531.94,0.01,0.011005117372858773,2.0,5.739519979799994,nan,62627.295512173
1.87,3531694.5637729596,6.81767968805929e-08,51802001932688.13,0.01,0.011034297341012796,1.0,5.76293395000506,nan,62626.16023680888
1.8800000000000001,3690195.695640279,6.50083882173274e-08,56764915987513.91,0.01,0.01106378447737169,1.0,5.794978635176783,nan,62622.85675460902
1.8900000000000001,3829566.7318102545,6.25375244568953e-08,61236301965387.63,0.01,0.011093576247594012,1.0,5.834459792934975,nan,62617.414741136396
1.9000000000000001,3941427.4564283355,6.058647849736814e-08,65054572475268.56,0.01,0.011123670042083256,1.0,5.880440611676727,nan,62609.864417614284
1.9100000000000001,4015609.854108113,5.928990308401427e-08,67728392951122.914,0.01,0.011154063174177397,1.0,5.932184107267523,nan,62600.23654049845
1.92,4039949.236334012,5.882534185648678e-08,68677020971507.016,0.01,0.011184752878328699,1.0,5.989110192812611,nan,62588.56239095362
1.93,4000165.0379848294,5.9313308875929326e-08,67441272688939.234,0.01,0.01121573630826701,1.0,6.050763587998294,nan,62574.8737643037
1.94,3879799.064829913,6.097162488383413e-08,63632863192048.43,0.01,0.011247010535181116,1.0,6.116789798877616,nan,62559.20295924821
1.95,3660239.063764762,6.449866216540839e-08,56749069529194.11,0.01,0.011278572545908385,1.0,6.1869171682125295,nan,62541.58276691113
1.96,3320959.3513660706,7.093287606985399e-08,46818337777473.21,0.01,0.011310419241085409,1.0,6.260943553409327,nan,62522.04646003985
1.97,2840085.455216214,8.273494733512534e-08,34327518741411.566,0.01,0.011342547433323516,1.0,6.338726591277239,nan,62500.627781968746
1.98,2195591.0595350782,1.068012187960462e-07,20557734118445.84,0.01,0.01137495384540416,1.0,6.420176806189823,nan,62477.36093540068
1.99,1368923.282795686,1.7092365640033424e-07,8008974951889.744,0.01,0.011407635108480474,1.0,6.505253038273878,nan,62452.28057111005
2.0,394590.40585681266,5.917543886096793e-07,666814498467.6813,0.01,0.011440587760270526,1.0,6.593959835170917,nan,62425.42177667303
2.0100000000000002,1000536.580848157,2.3293610914287102e-07,4295326235721.055,0.01,0.011473808243228852,1.0,6.686346581308852,nan,62396.82006532086
2.02,2481097.8539674324,9.375712430863965e-08,26463032780313.22,0.01,0.01150729290280498,1.0,6.782508245200721,nan,62366.51136425657
2.0300000000000002,4205225.32222154,5.5179503473380144e-08,76209915956388.36,0.01,0.011541037985728055,1.0,6.882587716896274,nan,62334.53200284949
2.04,6142017.8069211235,3.773847949435249e-08,162752126985939.3,0.01,0.011575039638243438,1.0,6.9867797917767245,nan,62300.91870118351
2.05,8249214.001884878,2.810433749346483e-08,293521026916328.75,0.01,0.01160929390440248,1.0,7.095336941059309,nan,62265.7085583327
2.06,10459616.860487625,2.2029526716045516e-08,474799889952661.4,0.01,0.01164379672440393,1.0,7.208577097713265,nan,62228.93904041419
2.07,12675469.8030828,1.8288072980466767e-08,693100351066035.8,0.01,0.011678543932972098,1.0,7.326893786740866,nan,62190.64796853235
2.08,14765083.32966748,1.552890494500471e-08,950812911918626.0,0.01,0.011713531257727785,1.0,7.450769046009037,nan,62150.87350689761
2.09,16562368.929377014,1.3913555823836479e-08,1190376431379434.5,0.01,0.011748754317562681,1.0,7.5807897258862145,nan,62109.654151066956
