case,family,t,initial_q_over_H,q_over_H,mode,Xi_participation,Q_rho_participation,Q_chi_participation,total_input_subspace_gain,within_tracked_subspace_gain,orthogonal_leakage_gain,full_transfer_gain,maximum_abs_pair_real_lambda_over_H,maximum_abs_pair_imag_lambda_over_H,assigned_subspace_overlap
on_shell_rho_initial_0.95,on_shell_background,7.1000000000000005,0.01,0.01782749774628393,gauge_continuation_Xi,0.9999989961394955,1.003808497555587e-06,5.200697113583549e-11,1.091396735102359e+23,1.0913954046753611e+23,1.704126049495226e+20,1.0915191187006556e+23,6170.8232767660775,0.0,0.999999913141101
on_shell_rho_initial_0.95,on_shell_background,7.1000000000000005,0.01,0.01782749774628393,matter_radial,8.695232515038292e-07,0.8650962735777521,0.13490285689899642,5.2383231900505375e+20,8.06938904502275e+17,5.238316974790823e+20,1.0915191187006556e+23,2.4175985466402496e-15,17.2341750610881,0.9999999140654606
on_shell_rho_initial_0.95,on_shell_background,7.1000000000000005,0.01,0.01782749774628393,matter_phase,1.2829707725837874e-08,0.014220155805953066,0.9857798313643391,3.475533473170838e+20,1.467923795704962e+17,3.475533163175209e+20,1.0915191187006556e+23,0.7315412515413966,0.0,0.9999587153497549
on_shell_rho_initial_0.95,on_shell_background,7.11,0.01,0.017820165863898268,gauge_continuation_Xi,0.9999990936418264,9.063081175087556e-07,5.005617233325344e-11,1.1523651873902983e+23,1.1523639082725192e+23,1.7169798957014935e+20,1.1524944076762393e+23,6220.2128773769155,0.0,0.9999999217185512
on_shell_rho_initial_0.95,on_shell_background,7.11,0.01,0.017820165863898268,matter_radial,7.833176678529193e-07,0.863183283464981,0.13681593321735125,5.5309504695809756e+20,8.136458086139569e+17,5.5309444848965734e+20,1.1524944076762393e+23,2.4185467557739885e-15,17.114119874581913,0.9999999142037351
on_shell_rho_initial_0.95,on_shell_background,7.11,0.01,0.017820165863898268,matter_phase,1.0944814814303366e-08,0.013499788279732715,0.9865002007754524,3.6696864240812884e+20,1.4588254369451738e+17,3.66968613411486e+20,1.1524944076762393e+23,0.581579601127738,0.0,0.9999609066038776
on_shell_rho_initial_0.95,on_shell_background,7.12,0.01,0.017812809650124495,gauge_continuation_Xi,0.9999991822448029,8.177068802859632e-07,4.831676742799998e-11,1.2167593937386911e+23,1.216758164572644e+23,1.7295077790378476e+20,1.2168958348586593e+23,6267.099179228688,0.0,0.9999999291223673
on_shell_rho_initial_0.95,on_shell_background,7.12,0.01,0.017812809650124495,matter_radial,7.052032356847706e-07,0.8613226772204028,0.13867661757636154,5.8400201722570126e+20,8.202287134047592e+17,5.840014412212917e+20,1.2168958348586593e+23,4.493340172305194e-15,17.000163845321392,0.9999999139926711
on_shell_rho_initial_0.95,on_shell_background,7.12,0.01,0.017812809650124495,matter_phase,9.28743948238508e-09,0.012761336155922225,0.9872386545566382,3.874748627809719e+20,1.4501720770288534e+17,3.87474835643739e+20,1.2168958348586593e+23,0.4000739455619034,0.0,0.9999632794999708
on_shell_rho_initial_0.95,on_shell_background,7.13,0.01,0.017805435123172994,gauge_continuation_Xi,0.9999992629029586,7.370502727276249e-07,4.6768616087384225e-11,1.284767951947224e+23,1.2847667715982812e+23,1.7415359870679656e+20,1.2849120191959876e+23,6311.5227423675005,0.0,0.9999999355315833
on_shell_rho_initial_0.95,on_shell_background,7.13,0.01,0.017805435123172994,matter_radial,6.342918175004433e-07,0.8595102672454742,0.14048909846270827,6.166437501654882e+20,8.266077859242678e+17,6.166431961334895e+20,1.2849120191959876e+23,6.9155190785303105e-16,16.891975869501998,0.9999999134733671
on_shell_rho_initial_0.95,on_shell_background,7.13,0.01,0.017805435123172994,matter_phase,7.83800054764023e-09,0.01201253837072376,0.9879874537912757,4.091320670691707e+20,1.4416407214036032e+17,4.091320416699388e+20,1.2849120191959876e+23,0.026926029160858834,0.0,0.9999657466362011
on_shell_rho_initial_0.95,on_shell_background,7.140000000000001,0.01,0.017798048267572763,gauge_continuation_Xi,0.9999993364456934,6.635089122482048e-07,4.539433273871066e-11,1.3565898602297447e+23,1.3565887277649157e+23,1.7528774416793082e+20,1.356741981216703e+23,6353.522269349623,0.0,0.9999999410931897
on_shell_rho_initial_0.95,on_shell_background,7.140000000000001,0.01,0.017798048267572763,matter_radial,5.698136722305054e-07,0.8577421692300714,0.14225726095625643,6.511157579706719e+20,8.326970452115173e+17,6.51115225511855e+20,1.356741981216703e+23,6.399335030975508e-15,16.789260901908147,0.9999999126836248
on_shell_rho_initial_0.95,on_shell_background,7.140000000000001,0.01,0.017798048267572763,matter_phase,6.5781171313538025e-09,0.011261460436242371,0.9887385329856404,4.320036258996533e+20,1.4328562823087173e+17,4.320036021373856e+20,1.356741981216703e+23,3.632055017580694e-15,0.3737175390510915,0.9999682140534083
on_shell_rho_initial_0.95,on_shell_background,7.15,0.01,0.017790655031832477,gauge_continuation_Xi,0.9999994035957984,5.963600228071978e-07,4.417886362249968e-11,1.4324354387292928e+23,1.4324343533983186e+23,1.763329782811251e+20,1.4325960646480635e+23,6393.136029300822,0.0,0.9999999459285654
on_shell_rho_initial_0.95,on_shell_background,7.15,0.01,0.017790655031832477,matter_radial,5.110996400056002e-07,0.8560147926659369,0.1439846962344231,6.875189869650966e+20,8.384034866597219e+17,6.875184757641836e+20,1.4325960646480635e+23,4.4120585798501295e-15,16.691756126783453,0.9999999116584491
on_shell_rho_initial_0.95,on_shell_background,7.15,0.01,0.017790655031832477,matter_phase,5.490491748188235e-09,0.010516492320567733,0.9894835021889405,4.561565153475467e+20,1.4234021745249542e+17,4.5615649313944764e+20,1.4325960646480635e+23,2.552073100109389e-15,0.5108848871237651,0.9999705818771197
on_shell_rho_initial_0.95,on_shell_background,7.16,0.01,0.01778326132616695,gauge_continuation_Xi,0.9999994649846836,5.349722073124937e-07,4.310914678746812e-11,1.5125272352848023e+23,1.512526196502958e+23,1.772673287355435e+20,1.512696842284368e+23,6430.4027882615865,0.0,0.9999999501385738
on_shell_rho_initial_0.95,on_shell_background,7.16,0.01,0.01778326132616695,matter_radial,4.575665112656406e-07,0.8543248323222852,0.1456747101112036,7.259602523396157e+20,8.436261292805527e+17,7.259597621576232e+20,1.512696842284368e+23,2.5963312066080195e-15,16.59922766271668,0.999999910430478
on_shell_rho_initial_0.95,on_shell_background,7.16,0.01,0.01778326132616695,matter_phase,4.558807442782043e-09,0.009786342056514111,0.9902136533846784,4.816616053759634e+20,1.412833910550059e+17,4.816615846549877e+20,1.512696842284368e+23,3.202141821483224e-15,0.6026434126931821,0.9999727448289999
on_shell_rho_initial_0.95,on_shell_background,7.17,0.01,0.017775873020289233,gauge_continuation_Xi,0.9999995211649554,4.78792870749911e-07,4.217384418445885e-11,1.5971008180510065e+23,1.5970998253831025e+23,1.7806685419857848e+20,1.5972799086957458e+23,6465.362060269186,0.0,0.999999953807588
on_shell_rho_initial_0.95,on_shell_background,7.17,0.01,0.017775873020289233,matter_radial,4.0870495290111533e-07,0.8526692607583427,0.14733033053670433,7.665526185819724e+20,8.482549469921992e+17,7.665521492491057e+20,1.5972799086957458e+23,2.424178176072655e-15,16.511467720790584,0.9999999090303539
on_shell_rho_initial_0.95,on_shell_background,7.17,0.01,0.017775873020289233,matter_phase,3.7676377307914e-09,0.009080024072369876,0.9909199721599925,5.08593912244406e+20,1.4006957336118346e+17,5.085938929564385e+20,1.5972799086957458e+23,2.5107559680752497e-15,0.6678884840133485,0.9999745926136475
on_shell_rho_initial_0.95,on_shell_background,7.18,0.01,0.01776849594126837,gauge_continuation_Xi,0.9999995726208564,4.2733778046871003e-07,4.1363138211099906e-11,1.6864053239234376e+23,1.6864043770685904e+23,1.787053781703496e+20,1.6865944287146574e+23,6498.05344326757,0.0,0.9999999570067033
