t,a,rho,rho_dot,Theta,mu,H,H_dot,energy_density,pressure,charge,friedmann_residual,continuity_residual
2.25,2.3439101510773983,0.22793065827488976,-0.2950045619940237,1.5590981315007215,1.6795282926654669,0.2142948176832509,-0.11256663773037692,0.14293306190953442,0.09064271138099772,1.1236102527122116,-2.1777024628022446e-12,0.0
2.2600000000000002,2.348925225225657,0.22501094695444887,-0.28891272973677656,1.57605739887336,1.712382666732311,0.2131731125165862,-0.11177368158305066,0.1414406399903721,0.09048974929445806,1.1236102527122116,-1.5937251518494122e-12,2.7755575615628914e-17
2.27,2.3539247189736225,0.22215290572096702,-0.2826702951237443,1.5933468513814828,1.74555681355806,0.21205935815466703,-0.11097649448981399,0.13996654592482682,0.09030968014153724,1.1236102527122116,-1.5597245717202668e-12,-5.551115123125783e-17
2.2800000000000002,2.3589086753262087,0.21935804757336694,-0.27627591529451406,1.6109694219328747,1.7789967992330942,0.2109535963760187,-0.11017518264632538,0.13851066920363195,0.09010283478749323,1.1236102527122116,-1.5059620217527936e-12,2.7755575615628914e-17
2.29,2.3638771400676597,0.21662789730668103,-0.26972858080048356,1.6289274746555116,1.8126427670670018,0.20985586789615332,-0.10936985250554723,0.13707289796758448,0.08986954598142605,1.1236102527122116,-1.065841859215766e-12,2.7755575615628914e-17
2.3000000000000003,2.368830161741379,0.21396398796689858,-0.2630276575171028,1.6472227446778436,1.8464287470432517,0.20876621236455853,-0.10856061079748043,0.1356531190618569,0.08961014834291503,1.1236102527122116,-1.4075962617710047e-12,5.551115123125783e-17
2.31,2.3737677916278552,0.2113678568851824,-0.2561729301849024,1.665856276242025,1.8802825123227962,0.20768466836198163,-0.10774756454511684,0.13425121808731705,0.08932497834380045,1.1236102527122116,-3.7677083675191625e-12,0.0
2.32,2.3786900837223937,0.20884104126983602,-0.2491646471837532,1.6848283596738303,1.914125492638581,0.20661127339762253,-0.10693082107608823,0.13286707944671236,0.08901437428617073,1.1236102527122116,-3.5649261320713777e-12,-2.7755575615628914e-17
2.33,2.383597094715063,0.20638507333172512,-0.24200356612695512,1.7041384677454887,1.9478727550000707,0.20554606390567037,-0.10611048805283343,0.13150058640651818,0.08867867630311121,1.1236102527122116,-1.6260881530172355e-12,2.7755575615628914e-17
2.34,2.388488883966856,0.20400147496693222,-0.23469099965699833,1.7237851922813336,1.9814330615717601,0.2044890752417923,-0.10528667348622027,0.13015162114432613,0.08831822633958095,1.1236102527122116,-1.6060486274227515e-12,8.326672684688674e-17
2.35,2.3933655134853993,0.20169175198510333,-0.22722886080217072,1.7437661817911556,2.014709015186081,0.20344034168000824,-0.10445948574352046,0.1288200647903251,0.08793336812747989,1.1236102527122116,-1.6157630788882216e-12,5.551115123125783e-17
2.36,2.39822704790206,0.19945738787647316,-0.2196197071943678,1.7640780809845857,2.0475973026398933,0.20239989640837336,-0.1036290335724702,0.127505797482433,0.08752444718044272,1.1236102527122116,-1.6336376695846866e-12,5.551115123125783e-17
2.37,2.403073554447404,0.1972998371555726,-0.2118667832755478,1.784716473263793,2.0799890444106497,0.20136777152589233,-0.10279542611595868,0.12620869841334087,0.08709181077727342,1.1236102527122116,-1.8822443603738748e-12,-2.7755575615628914e-17
2.38,2.407905102926236,0.19522051829477668,-0.2039740595777971,1.805675827285051,2.1117702587990537,0.20034399803855235,-0.10195877292614437,0.12492864587623959,0.08663580794551001,1.1236102527122114,-1.6421169979352612e-12,2.7755575615628914e-17
2.39,2.412721765691777,0.1932208062785451,-0.19594626808645582,1.8269494487739102,2.142822446654354,0.1993286058535001,-0.10111918398040698,0.12366551731116916,0.08615678944817533,1.1236102527122116,-1.6254220192024604e-12,5.551115123125783e-17
2.4,2.417523617620081,0.19130202483691425,-0.1877889326906093,1.8485294387676974,2.173023300228733,0.19832162377687412,-0.10027676969507227,0.12241918935065797,0.08565510776661699,1.1236102527122116,-1.7016527076307852e-12,4.163336342344337e-17
2.41,2.4223107360830576,0.18946543839651198,-0.17950839359244114,1.870406659617707,2.2022475376530544,0.19732307950783182,-0.09943164093837048,0.12118953786292533,0.08513111708419344,1.1236102527122116,-1.5868834024601597e-12,-1.3877787807814457e-17
2.42,2.4270832009217673,0.18771224382482452,-0.17111182466648045,1.8925707099170828,2.230367860766921,0.196332999635041,-0.09858390904528375,0.11997643799748843,0.08458517327147537,1.1236102527122116,-1.5189238755652923e-12,5.551115123125783e-17
2.43,2.4318410944186146,0.18604356204043315,-0.16260724268612708,1.915009909629174,2.2572560307319174,0.19535140963145212,-0.09773368582863379,0.11877976422669237,0.08401763386772276,1.1236102527122116,-1.6441709105308178e-12,-4.163336342344337e-17
2.44,2.436584501268883,0.18446042957467515,-0.15400350745841812,1.937711296530597,2.2827840518792692,0.1943783338487841,-0.09688108358971424,0.11759939038651601,0.08342885806214106,1.1236102527122116,-1.6720930196001405e-12,0.0
2.45,2.4413135085525806,0.18296379018225026,-0.14531031203638195,1.9606606349354165,2.306825450051181,0.19341379551386825,-0.0960262151315195,0.11643518972027528,0.08281920667762771,1.1236102527122116,-1.8373913501790184e-12,-1.3877787807814457e-17
2.46,2.4460282057046747,0.1815544866024667,-0.13653816222176351,1.9838424376586206,2.329256627626223,0.1924578167223501,-0.09516919376581763,0.11528703491587583,0.08218904214819578,1.1236102527122116,-1.3021667077950383e-12,-2.7755575615628914e-17
2.47,2.4507286844862044,0.1802332525784976,-0.1276983449064745,2.0072400017503678,2.3499582734007762,0.1915104184353482,-0.09431013332815627,0.11415479815086846,0.08153872850505581,1.1236102527122116,-1.4777484791395068e-12,-1.3877787807814457e-17
2.48,2.455415038952976,0.17900070525601683,-0.1188028848279566,2.0308354586003743,2.368816801574803,0.19057162047175188,-0.09344914817876547,0.113038351123857,0.08086863134708137,1.1236102527122116,-1.6303625116620424e-12,-1.3877787807814457e-17
2.49,2.460087365425474,0.17785733806686102,-0.10986448980707948,2.054609838364236,2.385725791380408,0.18964144150465143,-0.09258635321538528,0.1119375650974414,0.08017911782448306,1.1236102527122116,-1.7592871603966387e-12,1.3877787807814457e-17
2.5,2.4647457624573925,0.17680351422063828,-0.10089648459900011,2.078543148707603,2.4005873960690014,0.18871989905539732,-0.09172186387831907,0.11085231093375807,0.07947055661375403,1.1236102527122116,-1.6285583992470265e-12,0.0
2.5100000000000002,2.4693903308039267,0.17583946091073496,-0.09191273391433749,2.1026144673400897,2.413313688857196,0.1878070094883095,-0.09085579615715375,0.10978245913157267,0.07874331789452138,1.1236102527122116,-1.2907591662170148e-12,-1.3877787807814457e-17
2.52,2.474021173389526,0.1749652643414383,-0.08292755542864619,2.126802047554309,2.4238279129265434,0.18690278800513557,-0.08998826659626274,0.10872787986236584,0.07799777332487937,1.1236102527122116,-1.6274620540102092e-12,1.3877787807814457e-17
2.5300000000000002,2.4786383952747677,0.17418086567352578,-0.07395562388307356,2.151083435675166,2.4320656034397397,0.18600724863900542,-0.08911939229525892,0.10768844300190944,0.07723429601075282,1.1236102527122116,-1.6976420269543269e-12,2.7755575615628914e-17
2.54,2.483242103623466,0.17348605796186545,-0.0650118677148272,2.175435598920669,2.4379755519850157,0.18512040424955178,-0.08824929091620089,0.10666401816808183,0.07645326048303502,1.1236102527122116,-1.7086887460493472e-12,-1.3877787807814457e-17
2.5500000000000003,2.487832407668674,0.17288048416231755,-0.0561113598090511,2.199835062043638,2.44152058672332,0.18424226651689782,-0.08737808068323273,0.10565447475192118,0.07565504266578675,1.1236102527122116,-1.3009315846801428e-12,0.0
2.56,2.4924094186786014,0.17236363624860496,-0.04726920425079022,2.224258050740147,2.442678146555248,0.18337284593616232,-0.08650588038615199,0.10465968195231395,0.07484001984895144,1.1236102527122116,-1.6245338407827603e-12,0.0
2.57,2.4969732499215267,0.17193485548016757,-0.03850042104691433,2.248680639715687,2.441440632581839,0.1825121518116311,-0.08563280937592767,0.10367950880379258,0.07400857065125734,1.1236102527122116,-1.6793372248358196e-12,0.0
2.58,2.50152401663088,0.1715933338158484,-0.0298198309121397,2.2730789030878524,2.4378155271002555,0.18166019225135557,-0.08475898756788323,0.10271382421115101,0.07316107499220671,1.1236102527122116,-1.7626455850461298e-12,0.0
2.59,2.506061835969335,0.1713381164774409,-0.021241942196128898,2.297429064812003,2.43182527625002,0.1808169741614658,-0.0838845354368937,0.10176249697728294,0.07229791405427148,1.1236102527122116,-1.256189596787749e-12,0.0
2.6,2.510586826992855,0.17116810561871676,-0.012780841998685451,2.32170764676546,2.423506940079926,0.17998250324031778,-0.08300957401728419,0.10082539583523688,0.07141947025062782,1.1236102527122116,-1.610642175187138e-12,-1.3877787807814457e-17
2.61,2.515099110613683,0.17108206506278445,-0.004450093417672484,2.3458916121914526,2.41291161976213,0.17915678397347787,-0.08213422489363319,0.0999023894727043,0.07052612718158457,1.1236102527122116,-1.6276147096760951e-12,1.3877787807814457e-17
2.62,2.5195988095635578,0.17107862601924406,0.003737359354052741,2.3699585023900958,2.4001036788591446,0.17833981962774156,-0.08125861019954402,0.09899334656348105,0.0696182696005728,1.1236102527122116,-1.6186219031766313e-12,-1.3877787807814457e-17
2.63,2.524086048356006,0.17115629371121183,0.011769276532016752,2.3938865646646565,2.3851597800668776,0.1775316122458928,-0.08038285260909729,0.0980981357929175,0.06869628337095939,1.1236102527122116,-1.5439455269827818e-12,0.0
2.64,2.5285609532483786,0.17131345480247184,0.019634197615733786,2.4176548698297426,2.3681677641163015,0.17673216264124703,-0.07950707532965591,0.09721662588474929,0.06776055542428673,1.1236102527122116,-1.6093376631332035e-12,0.0
2.65,2.533023652203352,0.17154838551727145,0.027321504679306476,2.4412434178344684,2.3492254005307225,0.17594147039251845,-0.0786314020923856,0.09634868562621438,0.06681147371548576,1.1236102527122116,-1.6333601138285303e-12,1.3877787807814457e-17
2.66,2.5374742748500747,0.1718592603313802,0.03482147345957842,2.4646332303931744,2.328439042253866,0.1751595338385221,-0.07775595714259197,0.09549418389327688,0.06584942717760148,1.1236102527122116,-1.5573237144295149e-12,0.0
2.67,2.5419129524448847,0.17224416111212865,0.04212531192705025,2.487806429818604,2.305922216950579,0.17438635007294653,-0.07688086522840787,0.09465298967472686,0.06487480567421948,1.1236102527122116,-1.6106005418237146e-12,-2.7755575615628914e-17
2.68,2.5463398178314938,0.172701086581541,0.04922518633381057,2.5107463035755417,2.281794187520066,0.17362191493973106,-0.07600625158794719,0.09382497209520835,0.06388799994978209,1.1236102527122116,-1.6150691894978308e-12,-2.7755575615628914e-17
2.69,2.550755005400907,0.17322796197810486,0.05611423504583106,2.5334373544321647,2.2561785129356977,0.17286622302793556,-0.07513224193593378,0.09301000043814399,0.0628894015789186,1.1236102527122116,-1.6184137363595141e-12,0.0
2.7,2.555158651050823,0.173822648798121,0.06278657068889529,2.555865336329968,2.229201638120523,0.17211926766722613,-0.07425896244862723,0.09220794416745974,0.06187940291344179,1.1236102527122116,-1.5440287937096286e-12,0.0
2.71,2.5595508921447467,0.17448295450343246,0.06923727139167139,2.578017276418111,2.2009915384531324,0.17138104092306353,-0.0733865397477763,0.09141867294886272,0.060858397027773126,1.1236102527122116,-1.608699284894044e-12,1.3877787807814457e-17
2.72,2.5639318674705316,0.17520664209030257,0.07546236205237253,2.599881483878925,2.1716764408291147,0.17065153359280855,-0.07251510088313996,0.09064205667007662,0.05982677766243882,1.1236102527122116,-1.6167484018225764e-12,5.551115123125783e-17
2.73,2.5683017171987474,0.17599143942629708,0.08145878673557697,2.621447546446172,2.1413836391253604,0.1699307352011181,-0.07164477331406482,0.08987796546075727,0.058784939165927245,1.1236102527122116,-1.605562904849478e-12,1.3877787807814457e-17
2.74,2.5726605828405336,0.17683504827101518,0.08722437334528854,2.6427063155926804,2.1102384178098452,0.1692186339961523,-0.07077568488965895,0.08912626971142358,0.057733276434618744,1.1236102527122116,-1.55589430228531e-12,5.551115123125783e-17
2.75,2.577008607205194,0.17773515291098144,0.09275779180929193,2.6636498815489023,2.0783630932540476,0.16851521694549657,-0.06990796382757371,0.08838684009166653,0.05667218485054892,1.1236102527122116,-1.6070755837205297e-12,1.3877787807814457e-17
2.7600000000000002,2.581345934357248,0.1786894283470198,0.09805850698289287,2.684271539328152,2.0458761784863264,0.16782046973315412,-0.06904173869212268,0.08765954756788776,0.055602060218266816,1.1236102527122116,-1.6043971706736215e-12,-2.7755575615628914e-17
2.77,2.585672709573391,0.17969554799193224,0.10312672750045714,2.7045657470527438,2.0128916733471303,0.16713437675561255,-0.06817713837049279,0.08694426342007593,0.05452329869869661,1.1236102527122116,-1.5975137879209456e-12,-2.7755575615628914e-17
2.7800000000000002,2.589989079298911,0.1807511908386827,0.10796335169562031,2.7245280777835155,1.9795184790441078,0.1664569211191588,-0.06731429204847088,0.0862408592582199,0.053436296742357184,1.1236102527122116,-1.6074641617791485e-12,-1.3877787807814457e-17
2.79,2.5942951911039205,0.18185404808084984,0.1125699116851236,2.744155166119371,1.9458599331409963,0.16578808463652306,-0.06645332918369933,0.08554920703729277,0.05234145101888335,1.1236102527122116,-1.6141810110781307e-12,1.3877787807814457e-17
2.8000000000000003,2.5985911936391264,0.18300182916443297,0.11694851657421983,2.76344465070529,1.912013459084592,0.1651278478249288,-0.06559437947967246,0.0848691790727928,0.05123915834752758,1.1236102527122116,-1.5938361741518747e-12,2.7755575615628914e-17
2.81,2.602877236591427,0.18419226727499677,0.12110179567791278,2.782395113793687,1.8780703222972206,0.1644761899033322,-0.06473757285677222,0.0842006480544878,0.05012981562331455,1.1236102527122116,-1.5611401060766639e-12,0.0
2.82,2.6071534706391533,0.18542312425863122,0.12503284250642893,2.8010060188533945,1.844115483917413,0.16383308879050906,-0.063883039422778,0.08354348705989148,0.04901381974237287,1.1236102527122116,-1.4281215099387623e-12,1.3877787807814457e-17
2.83,2.6114200474071634,0.1866921949881445,0.12874516017160575,2.8192776471682404,1.8102275423226646,0.16319852110336033,-0.0630309094431747,0.08289756956786336,0.047891567526724146,1.1236102527122116,-1.7300744170611893e-12,2.7755575615628914e-17
2.84,2.6156771194211816,0.18799731119674962,0.1322426087449408,2.8372110342371784,1.7764787520579992,0.1625724621555048,-0.06218131330736686,0.08226276946928325,0.046763455643502996,1.1236102527122116,-2.1025264862473136e-12,-1.3877787807814457e-17
2.85,2.6199248400624358,0.18933634479324668,0.13552935500326946,2.854807906715582,1.7429351099686679,0.16195488595615654,-0.06133438149614278,0.08163896107888721,0.04562988052560907,1.1236102527122116,-1.6016354908998665e-12,-1.3877787807814457e-17
2.86,2.6241633635221984,0.19070721068570679,0.13860982490471807,2.872070620527224,1.7096564983381728,0.16134576520937624,-0.060490244550960005,0.0810260191490885,0.044491238294153516,1.1236102527122116,-1.6035922589807683e-12,1.3877787807814457e-17
2.87,2.6283928447550684,0.1921078691527861,0.14148865898959598,2.889002100609451,1.6766968750962197,0.16074507131373902,-0.059649033033704,0.08042381887605238,0.043347924668883424,1.1236102527122116,-1.5135948050470915e-12,1.3877787807814457e-17
2.88,2.632613439433209,0.19353632777674812,0.1441706709204378,2.905605782801245,1.6441045022408198,0.16015277436211803,-0.05881087749338618,0.07983223591199712,0.04220033488677921,1.1236102527122116,-1.5597523272958824e-12,0.0
